"","Order","Suborder","Family","Subfamily","Genus","Species","genus_species","Feng_tiplabel","mod_tiplabel","Adult_habitat","Activity_period","Mating_habitat","Life_history","Larval_habitat","Sex_dichromatism","Sex_size_dimorphism","Female_max_SVL","Male_max_SVL","Pupil_shape"
"105","Anura","Neobatrachia","Leptodactylidae","Leptodactylinae","Leptodactylus","albilabris","Leptodactylus_albilabris","Leptodactylus_albilabris_Leptodactylidae","Leptodactylus_albilabris_Leptodactylidae","Ground-dwelling","Nocturnal","Ground","Free-living larvae","Lentic water","Unknown","Females larger",56,43,"Horizontal shape"
"106","Anura","Neobatrachia","Leptodactylidae","Leptodactylinae","Leptodactylus","bolivianus","Leptodactylus_bolivianus",NA,"Leptodactylus_bolivianus_Leptodactylidae","Ground-dwelling","Nocturnal","Unknown","Free-living larvae","Lentic water","Absent","Males larger",107.7,121.5,"Unknown"
"107","Anura","Neobatrachia","Leptodactylidae","Leptodactylinae","Leptodactylus","melanonotus","Leptodactylus_melanonotus","Leptodactylus_melanonotus_Leptodactylidae","Leptodactylus_melanonotus_Leptodactylidae","Ground-dwelling","Nocturnal","Ground","Free-living larvae","Obscured","Absent","Females larger",45,37.5,"Horizontal shape"
"108","Anura","Neobatrachia","Arthroleptidae","Leptopelinae","Leptopelis","parkeri","Leptopelis_parkeri","Leptopelis_parkeri_Arthroleptidae","Leptopelis_parkeri_Arthroleptidae","Scansorial","Nocturnal","Ground","Free-living larvae","Lentic water","Present","Females larger",56,43,"Vertical slit"
"109","Anura","Neobatrachia","Bufonidae",NA,"Leptophryne","borbonica","Leptophryne_borbonica","Leptophryne_borbonica_Bufonidae","Leptophryne_borbonica_Bufonidae","Subfossorial","Unknown","Lotic water","Free-living larvae","Unknown","Absent","Females larger",50,30,"Horizontal slit"
"110","Anura","Neobatrachia","Limnodynastidae",NA,"Limnodynastes","salmini","Limnodynastes_salmini","Limnodynastes_salmini_Myobatrachidae","Limnodynastes_salmini_Myobatrachidae","Subfossorial","Unknown","Lentic water","Free-living larvae","Lentic water","Absent","Males larger",61,76,"Unknown"
"111","Anura","Neobatrachia","Dicroglossidae","Dicroglossinae","Limnonectes","khasianus","Limnonectes_khasianus","Limnonectes_laticeps_Dicroglossidae","Limnonectes_laticeps_Dicroglossidae","Semiaquatic","Nocturnal","Unknown","Free-living larvae","Lentic water","Unknown","Unknown",39.5,NA,"Unknown"
"112","Anura","Neobatrachia","Ranidae",NA,"Lithobates","berlandieri","Lithobates_berlandieri","Rana_berlandieri_Ranidae","Rana_berlandieri_Ranidae","Semiaquatic","Both","Lotic water","Free-living larvae","Lotic water","Absent","Females larger",73.5,64.4,"Horizontal shape"
"113","Anura","Neobatrachia","Ranidae",NA,"Lithobates","catesbeianus","Lithobates_catesbeianus","Rana_catesbeiana_Ranidae","Rana_catesbeiana_Ranidae","Semiaquatic","Both","Lentic water","Free-living larvae","Lentic water","Absent","Females larger",184,171,"Horizontal shape"
"114","Anura","Neobatrachia","Ranidae",NA,"Lithobates","pipiens","Lithobates_pipiens","Rana_pipiens_Ranidae","Rana_pipiens_Ranidae","Semiaquatic","Both","Lentic water","Free-living larvae","Lentic water","Absent","Females larger",111,80,"Horizontal shape"
"115","Anura","Neobatrachia","Ranidae",NA,"Lithobates","virgatipes","Lithobates_virgatipes","Rana_virgatipes_Ranidae","Rana_virgatipes_Ranidae","Semiaquatic","Both","Lentic water","Free-living larvae","Lentic water","Absent","Females larger",73,68,"Horizontal shape"
"116","Anura","Neobatrachia","Leptodactylidae","Leptodactylinae","Lithodytes","lineatus","Lithodytes_lineatus","Lithodytes_lineatus_Leptodactylidae","Lithodytes_lineatus_Leptodactylidae","Subfossorial","Both","Ground","Free-living larvae","Obscured","Unknown","Females larger",52,47,"Unknown"
"117","Anura","Neobatrachia","Mantellidae","Mantellinae","Mantella","aurantiaca","Mantella_aurantiaca",NA,"Mantella_aurantiaca_Mantellidae","Ground-dwelling","Diurnal","Ground","Free-living larvae","Lentic water","Absent","Females larger",31,24,"Unknown"
"118","Anura","Neobatrachia","Microhylidae","Asterophryinae","Mantophryne","lateralis","Mantophryne_lateralis","Mantophryne_lateralis_Microhylidae","Mantophryne_lateralis_Microhylidae","Ground-dwelling","Nocturnal","Unknown","No free-living larvae","No larvae","Unknown","Unknown",NA,NA,"Unknown"
"119","Anura","Archaeobatrachia","Megophryidae",NA,"Megophrys","brachykolos","Megophrys_brachykolos",NA,"Megophrys_brachykolos_Megophryidae","Semiaquatic","Nocturnal","Lotic water","Free-living larvae","Lotic water","Unknown","Females larger",48.4,39.5,"Vertical shape"
"120","Anura","Archaeobatrachia","Megophryidae",NA,"Megophrys","feae","Megophrys_feae","Brachytarsophrys_feae_Megophryidae","Megophrys_feae_Megophryidae","Subfossorial","Nocturnal","Lotic water","Free-living larvae","Lotic water","Absent","Absent",113.5,101.8,"Vertical slit"
"121","Anura","Archaeobatrachia","Megophryidae",NA,"Megophrys","gerti","Megophrys_gerti",NA,NA,"Ground-dwelling","Nocturnal","Unknown","Free-living larvae","Lotic water","Unknown","Females larger",47.4,42.2,"Other"
"122","Anura","Archaeobatrachia","Megophryidae",NA,"Megophrys","intermedia","Megophrys_intermedia",NA,NA,"Ground-dwelling","Nocturnal","Lotic water","Free-living larvae","Lotic water","Unknown","Unknown",NA,NA,"Vertical slit"
"123","Anura","Archaeobatrachia","Megophryidae",NA,"Megophrys","microstoma","Megophrys_microstoma","Ophryophryne_microstoma_Megophryidae","Megophrys_microstoma_Megophryidae","Ground-dwelling","Nocturnal","Lotic water","Free-living larvae","Lotic water","Absent","Females larger",57,44.4,"Other"
"124","Anura","Archaeobatrachia","Megophryidae",NA,"Megophrys","nasuta","Megophrys_nasuta","Megophrys_nasuta_Megophryidae","Megophrys_nasuta_Megophryidae","Ground-dwelling","Nocturnal","Unknown","Free-living larvae","Lentic water","Absent","Females larger",120,100,"Vertical slit"
"125","Anura","Neobatrachia","Microhylidae","Melanobatrachinae","Melanobatrachus","indicus","Melanobatrachus_indicus","Melanobatrachus_indicus_Microhylidae","Melanobatrachus_indicus_Microhylidae","Subfossorial","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,NA,"Vertical shape"
