,Order,Suborder,Family,Subfamily,Genus,Species,genus_species,Feng_tiplabel,mod_tiplabel,Museum,SpecimenNumber,Sex,Stage,SVL_mm,Mass_g,ED_right_mm,ED_left_mm,CD_right_mm,CD_left_mm,Ant_dis_mm,Post_dis_mm,PostLid_dis_mm,EL_R_mm,EL_L_mm,Measured_by
529,Anura,Neobatrachia,Rhacophoridae,Rhacophorinae,Rhacophorus,dennysi,Rhacophorus_dennysi,Rhacophorus_dennysi_Rhacophoridae,Rhacophorus_dennysi_Rhacophoridae,NHM,99.4.24.77,NA,adult,93.1,35.3,10,9.3,NA,6.2,17.7,NA,25,1.8,1.8,Kate_Thomas
530,Anura,Neobatrachia,Rhacophoridae,Rhacophorinae,Rhacophorus,dennysi,Rhacophorus_dennysi,Rhacophorus_dennysi_Rhacophoridae,Rhacophorus_dennysi_Rhacophoridae,NHM,99.4.24.78,NA,adult,91.6,35.8,9.4,9.5,7.4,7.4,15.9,NA,23.6,2.4,2.6,Kate_Thomas
531,Anura,Neobatrachia,Rhacophoridae,Rhacophorinae,Rhacophorus,dennysi,Rhacophorus_dennysi,Rhacophorus_dennysi_Rhacophoridae,Rhacophorus_dennysi_Rhacophoridae,NHM,99.4.24.79,NA,adult,93.3,43.4,9.5,10.5,7.7,7.3,17.2,NA,24.3,2.2,2.4,Kate_Thomas
532,Anura,Neobatrachia,Bufonidae,NA,Rhaebo,glaberrimus,Rhaebo_glaberrimus,Rhaebo_glaberrimus_Bufonidae,Rhaebo_glaberrimus_Bufonidae,NHM,1970.2,NA,adult,116.5,120,15.7,16.7,10,10.4,23.1,NA,35.7,5.1,5.5,Kate_Thomas
533,Anura,Neobatrachia,Bufonidae,NA,Rhaebo,glaberrimus,Rhaebo_glaberrimus,Rhaebo_glaberrimus_Bufonidae,Rhaebo_glaberrimus_Bufonidae,NHM,1970.1,NA,adult,73.4,27.7,10,10,6.4,6.9,12,NA,21.8,3.2,3.2,Kate_Thomas
534,Anura,Neobatrachia,Bufonidae,NA,Rhaebo,glaberrimus,Rhaebo_glaberrimus,Rhaebo_glaberrimus_Bufonidae,Rhaebo_glaberrimus_Bufonidae,NHM,1970.179,NA,adult,125.8,135,15.9,14.9,12,12.3,20.7,NA,36.1,4.5,4.8,Kate_Thomas
535,Anura,Neobatrachia,Bufonidae,NA,Rhaebo,nasicus,Rhaebo_nasicus,Rhaebo_nasicus_Bufonidae,Rhaebo_nasicus_Bufonidae,NHM,1969.1566,NA,adult,65.2,18.6,8.5,8,5.12,5.4,9.7,NA,8.1,3.6,3.4,Kate_Thomas
536,Anura,Neobatrachia,Bufonidae,NA,Rhaebo,nasicus,Rhaebo_nasicus,Rhaebo_nasicus_Bufonidae,Rhaebo_nasicus_Bufonidae,NHM,1974.634,NA,adult,38,5,5.8,5.2,4.3,3.8,7.7,NA,10.7,2,2,Kate_Thomas
537,Anura,Neobatrachia,Bufonidae,NA,Rhaebo,nasicus,Rhaebo_nasicus,Rhaebo_nasicus_Bufonidae,Rhaebo_nasicus_Bufonidae,NHM,1974.635,NA,adult,67.4,24.6,9.3,8.4,6.6,6.1,10,NA,8.4,3,3.5,Kate_Thomas
538,Anura,Neobatrachia,Bufonidae,NA,Rhinella,marina,Rhinella_marina,Rhinella_marina_Bufonidae,Rhinella_marina_Bufonidae,NHM,1913.11.12.107,NA,adult,112.4,114,15.7,14.7,9,NA,15,NA,29.4,5.1,5.5,Kate_Thomas
539,Anura,Neobatrachia,Bufonidae,NA,Rhinella,marina,Rhinella_marina,Rhinella_marina_Bufonidae,Rhinella_marina_Bufonidae,NHM,1913.11.12.108,NA,adult,125.7,174,14.7,15.2,9.8,10.4,17.1,NA,32.7,6.3,6.5,Kate_Thomas
540,Anura,Neobatrachia,Bufonidae,NA,Rhinella,marina,Rhinella_marina,Rhinella_marina_Bufonidae,Rhinella_marina_Bufonidae,NHM,1956.1.2.73,NA,adult,103.3,127,12.6,13,9.3,9.1,15,NA,27.9,6,6.3,Kate_Thomas
541,Anura,Neobatrachia,Bufonidae,NA,Rhinella,ocellata,Rhinella_ocellata,Rhinella_ocellata_Bufonidae,Rhinella_ocellata_Bufonidae,NHM,1954.1.1.24,NA,adult,46.2,14.1,6.2,6.4,5.2,5.4,9.7,NA,13.8,2.4,2.2,Kate_Thomas
542,Anura,Neobatrachia,Rhinodermatidae,NA,Rhinoderma,darwinii,Rhinoderma_darwinii,Rhinoderma_darwinii_Rhinodermatidae,Rhinoderma_darwinii_Rhinodermatidae,NHM,91.8.29.18,NA,adult,25.3,2,3.3,3.4,2.7,2.7,5.5,6.2,NA,0.8,1,Kate_Thomas
543,Anura,Neobatrachia,Rhinodermatidae,NA,Rhinoderma,darwinii,Rhinoderma_darwinii,Rhinoderma_darwinii_Rhinodermatidae,Rhinoderma_darwinii_Rhinodermatidae,NHM,89.12.16.163,NA,adult,31.3,3,4.1,4,3.1,3,5.8,7.3,NA,1,1.4,Kate_Thomas
544,Anura,Neobatrachia,Rhinodermatidae,NA,Rhinoderma,darwinii,Rhinoderma_darwinii,Rhinoderma_darwinii_Rhinodermatidae,Rhinoderma_darwinii_Rhinodermatidae,NHM,1978.1114,NA,adult,26,2,4,3.5,2.8,2.7,4.7,6.3,NA,0.9,0.8,Kate_Thomas
545,Anura,Neobatrachia,Rhinodermatidae,NA,Rhinoderma,darwinii,Rhinoderma_darwinii,Rhinoderma_darwinii_Rhinodermatidae,Rhinoderma_darwinii_Rhinodermatidae,NHM,98.6.27.2,NA,adult,27.2,3,3.6,3.7,3,2.9,4.8,7,NA,0.8,1,Kate_Thomas
546,Anura,Archaeobatrachia,Rhinophrynidae,NA,Rhinophrynus,dorsalis,Rhinophrynus_dorsalis,Rhinophrynus_dorsalis_Rhinophrynidae,Rhinophrynus_dorsalis_Rhinophrynidae,NHM,1914.1.21.181,NA,adult,68.3,40,4.2,3.6,2.4,2.5,9.8,12.4,NA,3.2,2.9,Kate_Thomas
547,Anura,Archaeobatrachia,Rhinophrynidae,NA,Rhinophrynus,dorsalis,Rhinophrynus_dorsalis,Rhinophrynus_dorsalis_Rhinophrynidae,Rhinophrynus_dorsalis_Rhinophrynidae,NHM,1914.1.21.182,NA,adult,62.3,56,4.9,3.8,2,2.3,9.6,12.5,NA,3.5,3.1,Kate_Thomas
548,Anura,Archaeobatrachia,Rhinophrynidae,NA,Rhinophrynus,dorsalis,Rhinophrynus_dorsalis,Rhinophrynus_dorsalis_Rhinophrynidae,Rhinophrynus_dorsalis_Rhinophrynidae,NHM,1914.1.21.183,NA,adult,70.2,53,3.7,3.8,2.2,2.5,10.6,12.2,NA,3.5,3.2,Kate_Thomas
549,Anura,Archaeobatrachia,Rhinophrynidae,NA,Rhinophrynus,dorsalis,Rhinophrynus_dorsalis,Rhinophrynus_dorsalis_Rhinophrynidae,Rhinophrynus_dorsalis_Rhinophrynidae,NHM,1914.1.21.184,NA,adult,70,56,4.5,4.1,2.7,2.7,9.6,11.5,NA,3,3.2,Kate_Thomas
550,Anura,Neobatrachia,Microhylidae,Scaphiophryninae,Scaphiophryne,marmorata,Scaphiophryne_marmorata,Scaphiophryne_marmorata_Microhylidae,Scaphiophryne_marmorata_Microhylidae,NHM,1928.5.9.23,NA,adult,40.4,7.8,5.2,5.3,4.1,4.4,7.4,NA,11.3,1.7,1.5,Kate_Thomas
551,Anura,Neobatrachia,Microhylidae,Scaphiophryninae,Scaphiophryne,marmorata,Scaphiophryne_marmorata,Scaphiophryne_marmorata_Microhylidae,Scaphiophryne_marmorata_Microhylidae,NHM,1930.2.2.3,NA,adult,48.3,13.4,6.2,5.8,5.1,4.8,8.1,NA,13.1,2.7,2.2,Kate_Thomas
552,Anura,Neobatrachia,Microhylidae,Scaphiophryninae,Scaphiophryne,marmorata,Scaphiophryne_marmorata,Scaphiophryne_marmorata_Microhylidae,Scaphiophryne_marmorata_Microhylidae,NHM,1969.425,NA,adult,31.1,4.5,4.4,4.3,3.5,3.5,6,NA,9.3,1.6,1.5,Kate_Thomas
553,Anura,Archaeobatrachia,Scaphiopodidae,NA,Scaphiopus,couchii,Scaphiopus_couchii,Scaphiopus_couchii_Scaphiopodidae,Scaphiopus_couchii_Scaphiopodidae,NHM,1953.1.5.92,NA,adult,59.4,26,8.3,8.3,6.6,7.2,10.8,19,NA,3.1,3.8,Kate_Thomas
554,Anura,Archaeobatrachia,Scaphiopodidae,NA,Scaphiopus,couchii,Scaphiopus_couchii,Scaphiopus_couchii_Scaphiopodidae,Scaphiopus_couchii_Scaphiopodidae,NHM,92.10.29.58,NA,adult,53.6,14,8.3,8.1,5.9,5.9,7.9,16,NA,3,2.9,Kate_Thomas
