clade,species,BM [g],ED [mm],n,source
acanthomorph,Odontobutis obscura,53.93,4.37,3,CAS/WFB
acanthomorph,Odontopyxis trispinosa,2.07,4.45,3,CAS/WFB
acanthomorph,Oneirodes acanthias,102.80,3.60,1,CAS/WFB
acanthomorph,Ophiodon elongatus,26.80,8.17,3,CAS/WFB
acanthomorph,Opistognathus punctatus,84.30,16.20,1,CAS/WFB
acanthomorph,Oplegnathus fasciatus,57.20,7.43,3,CAS/WFB
acanthomorph,Oreochromis mossambicus,3.27,4.60,3,CAS/WFB
acanthomorph,Oreosoma  atlanticum,37.60,13.20,1,CAS/WFB
acanthomorph,Oryzias celebensis,0.30,3.00,3,CAS/WFB
acanthomorph,Ostracoberyx dorygenys,30.20,15.90,3,CAS/WFB
acanthomorph,Pampus argenteus,53.80,9.85,2,CAS/WFB
acanthomorph,Paracirrhites arcatus,8.40,5.70,1,CAS/WFB
acanthomorph,Parapercis cephalopunctata,16.25,7.05,2,CAS/WFB
acanthomorph,Parazen pacificus,17.77,12.77,3,CAS/WFB
acanthomorph,Parophrys vetulus,17.17,6.63,3,CAS/WFB
acanthomorph,Parupeneus sp.,24.77,7.53,3,CAS/WFB
acanthomorph,Pataecus fronto,47.77,6.10,3,CAS/WFB
acanthomorph,Pegasus volitans,3.03,4.23,3,CAS/WFB
acanthomorph,Pempheris  moluca,27.90,12.00,3,CAS/WFB
acanthomorph,Perca flavescens,5.50,5.12,3,CAS/WFB
acanthomorph,Percichthys melanops,12.90,6.27,3,CAS/WFB
acanthomorph,Percilia gillissi,3.53,4.30,3,CAS/WFB
acanthomorph,Percopsis omiscomaycus,6.77,5.47,3,CAS/WFB
acanthomorph,Peristedion gracile,17.37,8.77,3,CAS/WFB
acanthomorph,Phanerodon furcatus,12.00,7.60,3,CAS/WFB
acanthomorph,Pholis ornata,3.47,2.30,3,CAS/WFB
acanthomorph,Plesiops coeruleolineatus,2.37,4.65,3,CAS/WFB
acanthomorph,Polydactylus octonemus,20.85,7.43,2,CAS/WFB
acanthomorph,Polymixia lowei,27.03,11.28,3,CAS/WFB
acanthomorph,Pomacanthus paru,80.40,10.00,1,CAS/WFB
acanthomorph,Pomatomus saltatrix,58.80,9.03,3,CAS/WFB
acanthomorph,Porichthys notatus,1.97,2.60,3,CAS/WFB
acanthomorph,Poromitra crassiceps,10.35,4.50,2,CAS/WFB
acanthomorph,Prionodraco evansii,12.00,11.50,1,CAS/WFB
acanthomorph,Prionotus stearnsi,6.83,5.43,3,CAS/WFB
acanthomorph,Prionurus punctatus,176.80,11.50,1,CAS/WFB
acanthomorph,Profundulus punctatus,5.97,4.10,3,CAS/WFB
acanthomorph,Psettodes sp.,54.53,6.67,3,CAS/WFB
acanthomorph,Ptereleotris evides,5.30,5.10,1,CAS/WFB
acanthomorph,Rachycentron canadum,30.27,6.63,3,CAS/WFB
acanthomorph,Remora sp.,20.10,5.28,2,CAS/WFB
acanthomorph,Rhamphocottus richardsonii,8.67,5.83,3,CAS/WFB
acanthomorph,Rhyacichthys aspro,84.33,4.90,3,CAS/WFB
acanthomorph,Rivulus brunneus,2.10,3.50,2,CAS/WFB
acanthomorph,Rondeletia bicolor,22.60,7.00,1,CAS/WFB
acanthomorph,Ronquilus jordani,22.70,9.30,1,CAS/WFB
acanthomorph,Samariscus japonicus,10.55,5.90,2,CAS/WFB
acanthomorph,Sargocentron vexillarium,43.53,12.95,3,CAS/WFB
acanthomorph,Scaridae indet.,106.63,8.23,3,CAS/WFB
acanthomorph,Scatophagus argus,69.65,8.95,2,CAS/WFB
acanthomorph,Scombrolabrax heterolepis,35.50,14.10,1,CAS/WFB
acanthomorph,Scophthalmus aquosus,1.57,3.47,3,CAS/WFB
acanthomorph,Scorpaena plumieri,395.30,16.85,1,CAS/WFB
acanthomorph,Scytalina cerdale,1.80,0.97,3,CAS/WFB
acanthomorph,Siganus punctatus,40.40,9.40,3,CAS/WFB
acanthomorph,Sillago sihama,18.60,7.73,3,CAS/WFB
acanthomorph,Solea orata,12.20,3.63,3,CAS/WFB
acanthomorph,Solenostomus paradoxus,2.90,3.10,1,CAS/WFB
acanthomorph,Sphyraenidae indet.,71.70,10.57,3,CAS/WFB
