Dataset_name,Common_name,Group,Subgroup,Subclade,Other taxonomy,Body_mass_kg,Axial_diameter_mm,SVL_mm,Trans_diameter_mm,Cornea_diameter_mm,Reference,VertLife_name,VertLife_basetree,TimeTree_tiplabel,TimeTree_genus_sub
Nemipterus hexodon,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.026233333,NA,NA,10.4,NA,Schmitz et al. 2013,,,NA,
Neoodax balteatus,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.029766667,NA,NA,7.133333333,NA,Schmitz et al. 2013,,,Neoodax_balteatus,
Normanichthys crockeri,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.002833333,NA,NA,5.65,NA,Schmitz et al. 2013,,,NA,
Odontesthes hatcheri,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.015966667,NA,NA,6.9,NA,Schmitz et al. 2013,,,NA,Odontesthes_smitti
Odontobutis obscura,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.053933333,NA,NA,4.366666667,NA,Schmitz et al. 2013,,,NA,Odontobutis_potamophila
Odontopyxis trispinosa,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.002066667,NA,NA,4.45,NA,Schmitz et al. 2013,,,NA,
Oneirodes acanthias,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.1028,NA,NA,3.6,NA,Schmitz et al. 2013,,,NA,Oneirodes_macrosteus
Ophiodon elongatus,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.0268,NA,NA,8.166666667,NA,Schmitz et al. 2013,,,NA,
Opistognathus punctatus,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.0843,NA,NA,16.2,NA,Schmitz et al. 2013,,,NA,Opistognathus_maxillosus
Oplegnathus fasciatus,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.0572,NA,NA,7.433333333,NA,Schmitz et al. 2013,,,Oplegnathus_fasciatus,
Oreochromis mossambicus,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.003266667,NA,NA,4.6,NA,Schmitz et al. 2013,,,NA,Orthochromis_stormsi
Oreosoma  atlanticum,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.0376,NA,NA,13.2,NA,Schmitz et al. 2013,,,NA,
Oryzias celebensis,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.0003,NA,NA,3,NA,Schmitz et al. 2013,,,Oryzias_celebensis,
Ostracoberyx dorygenys,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.0302,NA,NA,15.9,NA,Schmitz et al. 2013,,,Ostracoberyx_dorygenys,
Pampus argenteus,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.0538,NA,NA,9.85,NA,Schmitz et al. 2013,,,Pampus_argenteus,
Paracirrhites arcatus,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.0084,NA,NA,5.7,NA,Schmitz et al. 2013,,,Paracirrhites_arcatus,
Parapercis cephalopunctata,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.01625,NA,NA,7.05,NA,Schmitz et al. 2013,,,NA,Parapercis_punctulata
Parazen pacificus,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.017766667,NA,NA,12.76666667,NA,Schmitz et al. 2013,,,NA,
Parophrys vetulus,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.017166667,NA,NA,6.633333333,NA,Schmitz et al. 2013,,,Parophrys_vetulus,
Parupeneus sp.,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.024766667,NA,NA,7.533333333,NA,Schmitz et al. 2013,,,NA,Parupeneus_trifasciatus
Pataecus fronto,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.047766667,NA,NA,6.1,NA,Schmitz et al. 2013,,,NA,
Pegasus volitans,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.003033333,NA,NA,4.233333333,NA,Schmitz et al. 2013,,,Pegasus_volitans,
Pempheris  moluca,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.0279,NA,NA,12,NA,Schmitz et al. 2013,,,NA,Pempheris_schomburgkii
Perca flavescens,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.0055,NA,NA,5.116666667,NA,Schmitz et al. 2013,,,Perca_flavescens,
Percichthys melanops,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.0129,NA,NA,6.266666667,NA,Schmitz et al. 2013,,,NA,Percichthys_trucha
Percilia gillissi,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.003533333,NA,NA,4.3,NA,Schmitz et al. 2013,,,NA,Percilia_irwini
Percopsis omiscomaycus,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.006766667,NA,NA,5.466666667,NA,Schmitz et al. 2013,,,Percopsis_omiscomaycus,
Peristedion gracile,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.017366667,NA,NA,8.766666667,NA,Schmitz et al. 2013,,,Peristedion_gracile,
Phanerodon furcatus,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.012,NA,NA,7.6,NA,Schmitz et al. 2013,,,Phanerodon_furcatus,
Pholis ornata,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.003466667,NA,NA,2.3,NA,Schmitz et al. 2013,,,Pholis_ornata,
Plesiops coeruleolineatus,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.002366667,NA,NA,4.65,NA,Schmitz et al. 2013,,,Plesiops_coeruleolineatus,
Polydactylus octonemus,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.02085,NA,NA,7.425,NA,Schmitz et al. 2013,,,Polydactylus_octonemus,
Polymixia lowei,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.027033333,NA,NA,11.28333333,NA,Schmitz et al. 2013,,,Polymixia_lowei,
Pomacanthus paru,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.0804,NA,NA,10,NA,Schmitz et al. 2013,,,Pomacanthus_paru,
Pomatomus saltatrix,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.0588,NA,NA,9.033333333,NA,Schmitz et al. 2013,,,Pomatomus_saltatrix,
Porichthys notatus,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.001966667,NA,NA,2.6,NA,Schmitz et al. 2013,,,Porichthys_notatus,
Poromitra crassiceps,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.01035,NA,NA,4.5,NA,Schmitz et al. 2013,,,Poromitra_crassiceps,
Prionodraco evansii,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.012,NA,NA,11.5,NA,Schmitz et al. 2013,,,Prionodraco_evansii,
Prionotus stearnsi,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.006833333,NA,NA,5.433333333,NA,Schmitz et al. 2013,,,NA,Prionotus_carolinus
Prionurus punctatus,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.1768,NA,NA,11.5,NA,Schmitz et al. 2013,,,Prionurus_punctatus,
Profundulus punctatus,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.005966667,NA,NA,4.1,NA,Schmitz et al. 2013,,,NA,
Psettodes sp.,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.054533333,NA,NA,6.666666667,NA,Schmitz et al. 2013,,,NA,Psettodes_erumei
Ptereleotris evides,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.0053,NA,NA,5.1,NA,Schmitz et al. 2013,,,Ptereleotris_evides,
Rachycentron canadum,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.030266667,NA,NA,6.633333333,NA,Schmitz et al. 2013,,,Rachycentron_canadum,
Remora sp.,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.0201,NA,NA,5.275,NA,Schmitz et al. 2013,,,NA,Remora_australis
Rhamphocottus richardsonii,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.008666667,NA,NA,5.833333333,NA,Schmitz et al. 2013,,,NA,
Rhyacichthys aspro,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.084333333,NA,NA,4.9,NA,Schmitz et al. 2013,,,Rhyacichthys_aspro,
Rivulus brunneus,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.0021,NA,NA,3.5,NA,Schmitz et al. 2013,,,NA,
Rondeletia bicolor,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.0226,NA,NA,7,NA,Schmitz et al. 2013,,,Rondeletia_bicolor,
Ronquilus jordani,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.0227,NA,NA,9.3,NA,Schmitz et al. 2013,,,NA,
Samariscus japonicus,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.01055,NA,NA,5.9,NA,Schmitz et al. 2013,,,Samariscus_japonicus,
Sargocentron vexillarium,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.043533333,NA,NA,12.95,NA,Schmitz et al. 2013,,,Sargocentron_vexillarium,
Scaridae indet.,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.106633333,NA,NA,8.233333333,NA,Schmitz et al. 2013,,,NA,
Scatophagus argus,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.06965,NA,NA,8.95,NA,Schmitz et al. 2013,,,Scatophagus_argus,
Scombrolabrax heterolepis,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.0355,NA,NA,14.1,NA,Schmitz et al. 2013,,,Scombrolabrax_heterolepis,
Scophthalmus aquosus,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.001566667,NA,NA,3.466666667,NA,Schmitz et al. 2013,,,Scophthalmus_aquosus,
Scorpaena plumieri,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.3953,NA,NA,16.85,NA,Schmitz et al. 2013,,,NA,Scorpaena_agassizii
Scytalina cerdale,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.0018,NA,NA,0.966666667,NA,Schmitz et al. 2013,,,NA,
Siganus punctatus,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.0404,NA,NA,9.4,NA,Schmitz et al. 2013,,,Siganus_punctatus,
Sillago sihama,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.0186,NA,NA,7.733333333,NA,Schmitz et al. 2013,,,Sillago_sihama,
Solea orata,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.0122,NA,NA,3.633333333,NA,Schmitz et al. 2013,,,NA,Solea_solea
Solenostomus paradoxus,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.0029,NA,NA,3.1,NA,Schmitz et al. 2013,,,NA,Solenostomus_cyanopterus
Sphyraenidae indet.,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.0717,NA,NA,10.56666667,NA,Schmitz et al. 2013,,,NA,
Spicara nigricauda,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.026166667,NA,NA,8.233333333,NA,Schmitz et al. 2013,,,Spicara_nigricauda,
Stellifer furthi,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.059633333,NA,NA,9.4,NA,Schmitz et al. 2013,,,NA,Stellifer_lanceolatus
Stereolepis ischinagi,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.2796,NA,NA,16.3,NA,Schmitz et al. 2013,,,NA,Stereolepis_gigas
Symphurus atricaudus,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.015266667,NA,NA,2.916666667,NA,Schmitz et al. 2013,,,Symphurus_atricaudus,
Symphysanodon berryi,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.016033333,NA,NA,11.1,NA,Schmitz et al. 2013,,,NA,Symphysanodon_typus
Syngnathus leptorhynchus,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.0021,NA,NA,2.6,NA,Schmitz et al. 2013,,,Syngnathus_leptorhynchus,
Terapon jarbua,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.026866667,NA,NA,6.716666667,NA,Schmitz et al. 2013,,,Terapon_jarbua,
Tetragonurus cuvieri,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.06955,NA,NA,9.675,NA,Schmitz et al. 2013,,,Tetragonurus_cuvieri,
Tetrapturus angustirostris,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.02255,NA,NA,8.3,NA,Schmitz et al. 2013,,,Tetrapturus_angustirostris,
Toxotidae indet.,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.077833333,NA,NA,12.5,NA,Schmitz et al. 2013,,,NA,
Trachinotus falcatus,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.050666667,NA,NA,10.53333333,NA,Schmitz et al. 2013,,,Trachinotus_falcatus,
Trachinus armatus,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.029166667,NA,NA,8.333333333,NA,Schmitz et al. 2013,,,NA,Trachinus_draco
Trachipterus sp.,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.0082,NA,NA,8.2,NA,Schmitz et al. 2013,,,NA,Trachipterus_trachypterus
Triacanthodes anomalus,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.0104,NA,NA,10.15,NA,Schmitz et al. 2013,,,Triacanthodes_anomalus,
Triacanthus biaculeatus,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.108066667,NA,NA,12.13333333,NA,Schmitz et al. 2013,,,Triacanthus_biaculeatus,
Trichodon trichodon,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.0324,NA,NA,7.4,NA,Schmitz et al. 2013,,,Trichodon_trichodon,
Trichonotus setiger,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.001233333,NA,NA,2.783333333,NA,Schmitz et al. 2013,,,NA,
Trichopsetta ventralis,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.012033333,NA,NA,8,NA,Schmitz et al. 2013,,,Trichopsetta_ventralis,
Trinectes maculatus,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.0269,NA,NA,3.766666667,NA,Schmitz et al. 2013,,,Trinectes_maculatus,
Urophycis floridana,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.002,NA,NA,3.45,NA,Schmitz et al. 2013,,,NA,Urophycis_tenuis
Valencia hispanica,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.0088,NA,NA,5.25,NA,Schmitz et al. 2013,,,NA,
Xiphister mucosus,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.004466667,NA,NA,2.183333333,NA,Schmitz et al. 2013,,,NA,
Zanclus cornutus,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.026233333,NA,NA,9.616666667,NA,Schmitz et al. 2013,,,Zanclus_cornutus,
Zaprora silenus,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.0593,NA,NA,9.1,NA,Schmitz et al. 2013,,,Zaprora_silenus,
Zenion leptolepis,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.02305,NA,NA,15.3,NA,Schmitz et al. 2013,,,NA,
Zenopsis nebulosa,,Fishes (Actinopterygii),acanthomorph fishes,Teleostei: Acanthomorpha,,0.015533333,NA,NA,7.333333333,NA,Schmitz et al. 2013,,,NA,Zenopsis_conchifer
Petromyzon marinus,Grand lamprey,Fishes (Cephalaspidormophi),lampreys,Cephalaspidomorphi (lampreys),,1.049,6,NA,NA,NA,Howland et al. 2004,,,NA,
Aepyceros melampus,Impala,Mammals (Mammalia),mammals,Mammalia,,37.86,29.506,NA,NA,NA,Howland et al. 2004,Aepyceros melampus,mammaltree,,
Alcelaphus cokei,Red Hartebeest,Mammals (Mammalia),mammals,Mammalia,,134,29.208,NA,NA,NA,Howland et al. 2004,Alcelaphus buselaphus,mammaltree,,
Balaena mysticetus,Bowhead whale,Mammals (Mammalia),mammals,Mammalia,,75000,45.571,NA,NA,NA,Howland et al. 2004,Balaena mysticetus,mammaltree,,
Balaenoptera musculus,Blue whale,Mammals (Mammalia),mammals,Mammalia,,105000,107,NA,NA,NA,Howland et al. 2004,Balaenoptera musculus,mammaltree,,
Blarina brevicauda,Short-tailed shrew,Mammals (Mammalia),mammals,Mammalia,,0.0106,1.368,NA,NA,NA,Howland et al. 2004,Blarina brevicauda,mammaltree,,
Bos taurus,Beefalo,Mammals (Mammalia),mammals,Mammalia,,816.47,37,NA,NA,NA,Howland et al. 2004,Bos taurus,mammaltree,,
Bos taurus,Brown Swiss,Mammals (Mammalia),mammals,Mammalia,,680.4,30,NA,NA,NA,Howland et al. 2004,Bos taurus,mammaltree,,
Bos taurus,Guernsey,Mammals (Mammalia),mammals,Mammalia,,544.32,29,NA,NA,NA,Howland et al. 2004,Bos taurus,mammaltree,,
Bos taurus,Hereford,Mammals (Mammalia),mammals,Mammalia,,907.19,30,NA,NA,NA,Howland et al. 2004,Bos taurus,mammaltree,,
Bos taurus,Holstein,Mammals (Mammalia),mammals,Mammalia,,759.78,28,NA,NA,NA,Howland et al. 2004,Bos taurus,mammaltree,,
Bos taurus,Jersey Cow,Mammals (Mammalia),mammals,Mammalia,,521.64,37,NA,NA,NA,Howland et al. 2004,Bos taurus,mammaltree,,
Bos taurus,Red Angus,Mammals (Mammalia),mammals,Mammalia,,691.74,31,NA,NA,NA,Howland et al. 2004,Bos taurus,mammaltree,,
Bos taurus,Red Holstein,Mammals (Mammalia),mammals,Mammalia,,873.17,30,NA,NA,NA,Howland et al. 2004,Bos taurus,mammaltree,,
Bos taurus,Simmental,Mammals (Mammalia),mammals,Mammalia,,918.53,25,NA,NA,NA,Howland et al. 2004,Bos taurus,mammaltree,,
Callitrix jacchus,Common marmoset,Mammals (Mammalia),mammals,Mammalia,,0.33,12.544,NA,NA,NA,Howland et al. 2004,Callithrix jacchus,mammaltree,,
Canis latrans,Coyote,Mammals (Mammalia),mammals,Mammalia,,8.51,18.658,NA,NA,NA,Howland et al. 2004,Canis latrans,mammaltree,,
Canis lupus,Wolf,Mammals (Mammalia),mammals,Mammalia,,47.5,22.56,NA,NA,NA,Howland et al. 2004,Canis lupus,mammaltree,,
Canis lupus f. familiaris,Cocker spaniel,Mammals (Mammalia),mammals,Mammalia,,9.07,21,NA,NA,NA,Howland et al. 2004,Canis lupus,mammaltree,,
Canis lupus f. familiaris,Collie,Mammals (Mammalia),mammals,Mammalia,,23.81,17,NA,NA,NA,Howland et al. 2004,Canis lupus,mammaltree,,
Canis lupus f. familiaris,Doberman,Mammals (Mammalia),mammals,Mammalia,,31.75,16,NA,NA,NA,Howland et al. 2004,Canis lupus,mammaltree,,
Canis lupus f. familiaris,Dog,Mammals (Mammalia),mammals,Mammalia,,13.0723,20.146,NA,NA,NA,Howland et al. 2004,Canis lupus,mammaltree,,
Canis lupus f. familiaris,Golden retriever,Mammals (Mammalia),mammals,Mammalia,,27.9,22.5,NA,NA,NA,Howland et al. 2004,Canis lupus,mammaltree,,
Canis lupus f. familiaris,Pekingese,Mammals (Mammalia),mammals,Mammalia,,3.4,17,NA,NA,NA,Howland et al. 2004,Canis lupus,mammaltree,,
Canis lupus f. familiaris,Pomeranian,Mammals (Mammalia),mammals,Mammalia,,9.07,20,NA,NA,NA,Howland et al. 2004,Canis lupus,mammaltree,,
Canis lupus f. familiaris,Siberian huskie,Mammals (Mammalia),mammals,Mammalia,,30.62,22,NA,NA,NA,Howland et al. 2004,Canis lupus,mammaltree,,
Canis lupus f. familiaris,Basset hound,Mammals (Mammalia),mammals,Mammalia,,20.41,25,NA,NA,NA,Howland et al. 2004,Canis lupus,mammaltree,,
Capra hircus,Dwarf goat,Mammals (Mammalia),mammals,Mammalia,,27.66,25.843,NA,NA,NA,Howland et al. 2004,Capra hircus,mammaltree,,
Capreolus capreolus,Roe deer,Mammals (Mammalia),mammals,Mammalia,,17.5,22,NA,NA,NA,Howland et al. 2004,Capreolus capreolus,mammaltree,,
Castor canadensis,American beaver,Mammals (Mammalia),mammals,Mammalia,,5.005,9.578,NA,NA,NA,Howland et al. 2004,Castor canadensis,mammaltree,,
Castor fiber,European beaver,Mammals (Mammalia),mammals,Mammalia,,24.35,11.28,NA,NA,NA,Howland et al. 2004,Castor fiber,mammaltree,,
Cercopithecus aethiops,Vervet monkey,Mammals (Mammalia),mammals,Mammalia,,4.185,17.278,NA,NA,NA,Howland et al. 2004,Chlorocebus aethiops,mammaltree,,
Cercopithecus mitis,Blue monkey,Mammals (Mammalia),mammals,Mammalia,,2.9,17.979,NA,NA,NA,Howland et al. 2004,Cercopithecus mitis,mammaltree,,
Citellus citellus,Active European ground,Mammals (Mammalia),mammals,Mammalia,,0.186,8.45,NA,NA,NA,Howland et al. 2004,Spermophilus citellus,mammaltree,,
Citellus citellus,European ground squirrel,Mammals (Mammalia),mammals,Mammalia,,0.3159,8.939,NA,NA,NA,Howland et al. 2004,Spermophilus citellus,mammaltree,,
Citellus citellus,Hibernating Eur. ground,Mammals (Mammalia),mammals,Mammalia,,0.096,8.1,NA,NA,NA,Howland et al. 2004,Spermophilus citellus,mammaltree,,
Citellus citellus,Hibernating Eur. ground,Mammals (Mammalia),mammals,Mammalia,,0.141,8.15,NA,NA,NA,Howland et al. 2004,Spermophilus citellus,mammaltree,,
Citellus citellus,Hibernating Eur. ground,Mammals (Mammalia),mammals,Mammalia,,0.156,8.65,NA,NA,NA,Howland et al. 2004,Spermophilus citellus,mammaltree,,
Citellus parryi,Arctic ground squirrel,Mammals (Mammalia),mammals,Mammalia,,0.918,10.083,NA,NA,NA,Howland et al. 2004,Urocitellus parryii,mammaltree,,
Cricetus cricetus,Common hamster,Mammals (Mammalia),mammals,Mammalia,,0.1075,4.992,NA,NA,NA,Howland et al. 2004,Cricetus cricetus,mammaltree,,
Crocuta crocuta,Spotted hyena,Mammals (Mammalia),mammals,Mammalia,,62.37,28.684,NA,NA,NA,Howland et al. 2004,Crocuta crocuta,mammaltree,,
Cystophora cristata,Hooded seal,Mammals (Mammalia),mammals,Mammalia,,375,55,NA,NA,NA,Howland et al. 2004,Cystophora cristata,mammaltree,,
Delphinapterus leucas,Beluga whale,Mammals (Mammalia),mammals,Mammalia,,375.13,25.034,NA,NA,NA,Howland et al. 2004,Delphinapterus leucas,mammaltree,,
Delphinus delphis,Common dolphin,Mammals (Mammalia),mammals,Mammalia,,51.2277,20.564,NA,NA,NA,Howland et al. 2004,Delphinus delphis,mammaltree,,
Diceros bicornis,Black rhinoceros,Mammals (Mammalia),mammals,Mammalia,,764,23.621,NA,NA,NA,Howland et al. 2004,Diceros bicornis,mammaltree,,
Dicrostonyx rubricatus,Bering collared lemming,Mammals (Mammalia),mammals,Mammalia,,0.0521,4.4,NA,NA,NA,Howland et al. 2004,Dicrostonyx groenlandicus,mammaltree,,
Didelphis virginiana,Opossum,Mammals (Mammalia),mammals,Mammalia,,4.05,10,NA,NA,NA,Howland et al. 2004,Didelphis virginiana,mammaltree,,
Dugong dugon,Dugong,Mammals (Mammalia),mammals,Mammalia,,143.2072,21.935,NA,NA,NA,Howland et al. 2004,Dugong dugon,mammaltree,,
Elephas asiaticus,Asian elephant,Mammals (Mammalia),mammals,Mammalia,,4263.81,30.456,NA,NA,NA,Howland et al. 2004,Elephas maximus,mammaltree,,
Elephas asiaticus,Asian elephant,Mammals (Mammalia),mammals,Mammalia,,4263.81,40,NA,NA,NA,Howland et al. 2004,Elephas maximus,mammaltree,,
Enhydra lutris,Sea otter,Mammals (Mammalia),mammals,Mammalia,,27,14,NA,NA,NA,Howland et al. 2004,Enhydra lutris,mammaltree,,
Equus burchelli,Zebra,Mammals (Mammalia),mammals,Mammalia,,338.1256,50.018,NA,NA,NA,Howland et al. 2004,Equus quagga,mammaltree,,
Equus burchelli,Zebra,Mammals (Mammalia),mammals,Mammalia,,300,35,NA,NA,NA,Howland et al. 2004,Equus quagga,mammaltree,,
Equus caballus,1/2 Arabian,Mammals (Mammalia),mammals,Mammalia,,430.92,41,NA,NA,NA,Howland et al. 2004,Equus caballus,mammaltree,,
Equus caballus,American saddlebreed,Mammals (Mammalia),mammals,Mammalia,,476.28,40,NA,NA,NA,Howland et al. 2004,Equus caballus,mammaltree,,
Equus caballus,Appaloosa,Mammals (Mammalia),mammals,Mammalia,,504.63,32,NA,NA,NA,Howland et al. 2004,Equus caballus,mammaltree,,
Equus caballus,Arabian,Mammals (Mammalia),mammals,Mammalia,,430.92,36,NA,NA,NA,Howland et al. 2004,Equus caballus,mammaltree,,
Equus caballus,Connemara,Mammals (Mammalia),mammals,Mammalia,,351.54,42,NA,NA,NA,Howland et al. 2004,Equus caballus,mammaltree,,
Equus caballus,Horse,Mammals (Mammalia),mammals,Mammalia,,694.3845,41.962,NA,NA,NA,Howland et al. 2004,Equus caballus,mammaltree,,
Equus caballus,Horse,Mammals (Mammalia),mammals,Mammalia,,694.3845,40.733,NA,NA,NA,Howland et al. 2004,Equus caballus,mammaltree,,
Equus caballus,Morgan,Mammals (Mammalia),mammals,Mammalia,,476.28,37,NA,NA,NA,Howland et al. 2004,Equus caballus,mammaltree,,
Equus caballus,Palomino,Mammals (Mammalia),mammals,Mammalia,,476.28,34,NA,NA,NA,Howland et al. 2004,Equus caballus,mammaltree,,
Equus caballus,Pinto,Mammals (Mammalia),mammals,Mammalia,,453.6,36,NA,NA,NA,Howland et al. 2004,Equus caballus,mammaltree,,
Equus caballus,Quarter Horse,Mammals (Mammalia),mammals,Mammalia,,487.62,38,NA,NA,NA,Howland et al. 2004,Equus caballus,mammaltree,,
Equus caballus,Shetland pony,Mammals (Mammalia),mammals,Mammalia,,99.2008,39.324,NA,NA,NA,Howland et al. 2004,Equus caballus,mammaltree,,
Equus caballus,Standard bred,Mammals (Mammalia),mammals,Mammalia,,907.19,42,NA,NA,NA,Howland et al. 2004,Equus caballus,mammaltree,,
Equus caballus,Thoroughbred,Mammals (Mammalia),mammals,Mammalia,,476.28,45,NA,NA,NA,Howland et al. 2004,Equus caballus,mammaltree,,
