Dataset_name,Common_name,Group,Subgroup,Subclade,Other taxonomy,Body_mass_kg,Axial_diameter_mm,SVL_mm,Trans_diameter_mm,Cornea_diameter_mm,Reference,VertLife_name,VertLife_basetree,TimeTree_tiplabel,TimeTree_genus_sub
Prunella modularis,,Birds (Aves),birds,Aves,,0.0197,6.95,NA,NA,NA,Hall & Heesy 2011,Prunella modularis,birdtree,,
Riparia riparia,,Birds (Aves),birds,Aves,,0.01345,7.5,NA,NA,NA,Hall & Heesy 2011,Riparia riparia,birdtree,,
Rissa tridactyla,,Birds (Aves),birds,Aves,,0.4075,16.2,NA,NA,NA,Hall & Heesy 2011,Rissa tridactyla,birdtree,,
Stercorarius longicaudus,,Birds (Aves),birds,Aves,,0.2885,14,NA,NA,NA,Hall & Heesy 2011,Stercorarius longicaudus,birdtree,,
Stercorarius parasiticus,,Birds (Aves),birds,Aves,,0.4455,13,NA,NA,NA,Hall & Heesy 2011,Stercorarius parasiticus,birdtree,,
Stercorarius pomarinus,,Birds (Aves),birds,Aves,,0.694,16,NA,NA,NA,Hall & Heesy 2011,Stercorarius pomarinus,birdtree,,
Sterna paradisaea,,Birds (Aves),birds,Aves,,0.11,13.25,NA,NA,NA,Hall & Heesy 2011,Sterna paradisaea,birdtree,,
Sturnus vulgaris,,Birds (Aves),birds,Aves,,0.086,8.14,NA,NA,NA,Hall & Heesy 2011,Sturnus vulgaris,birdtree,,
Tringa glareola,,Birds (Aves),birds,Aves,,0.0675,8.8,NA,NA,NA,Hall & Heesy 2011,Tringa glareola,birdtree,,
Turdus viscivorus,,Birds (Aves),birds,Aves,,0.1175,12.3,NA,NA,NA,Hall & Heesy 2011,Turdus viscivorus,birdtree,,
Vanellus vanellus,,Birds (Aves),birds,Aves,,0.2185,12.6,NA,NA,NA,Hall & Heesy 2011,Vanellus vanellus,birdtree,,
Accipiter nisus,Sparrow hawk,Birds (Aves),birds,Aves,,1.56,13.5,NA,NA,NA,Howland et al. 2004,Accipiter nisus,birdtree,,
Alle alle,Dovekie,Birds (Aves),birds,Aves,,0.103,10.488,NA,NA,NA,Howland et al. 2004,Alle alle,birdtree,,
Amazilia tzacatl,Rufous-tailed hummingbird,Birds (Aves),birds,Aves,,0.0048,4.132,NA,NA,NA,Howland et al. 2004,Amazilia tzacatl,birdtree,,
Anas acuta,Pintail,Birds (Aves),birds,Aves,,0.67,9.986,NA,NA,NA,Howland et al. 2004,Anas acuta,birdtree,,
Anas carolinensis,Green-winged teal,Birds (Aves),birds,Aves,,0.305,8.792,NA,NA,NA,Howland et al. 2004,Anas crecca,birdtree,,
Apteryx australis,Brown kiwi,Birds (Aves),birds,Aves,,2.2,8,NA,NA,NA,Howland et al. 2004,Apteryx australis,birdtree,,
Apus apus,Common swift,Birds (Aves),birds,Aves,,0.0197,8.9,NA,NA,NA,Howland et al. 2004,Apus apus,birdtree,,
Aquila chrysaetos,Golden eagle,Birds (Aves),birds,Aves,,4.3451,32.024,NA,NA,NA,Howland et al. 2004,Aquila chrysaetos,birdtree,,
Aquila rapax,Tawny eagle,Birds (Aves),birds,Aves,,2.5315,26.51,NA,NA,NA,Howland et al. 2004,Aquila rapax,birdtree,,
Athene noctua,Little owl,Birds (Aves),birds,Aves,,2.78,12.5,NA,NA,NA,Howland et al. 2004,Athene noctua,birdtree,,
Balearica pavonina,Black crowned crane,Birds (Aves),birds,Aves,,4.448,18.928,NA,NA,NA,Howland et al. 2004,Balearica pavonina,birdtree,,
Bubo bubo,Eurasian eagle owl,Birds (Aves),birds,Aves,,1.8268,34.97,NA,NA,NA,Howland et al. 2004,Bubo bubo,birdtree,,
Bubo virginianus,Great horned owl,Birds (Aves),birds,Aves,,3.58,38,NA,NA,NA,Howland et al. 2004,Bubo virginianus,birdtree,,
Bucorvus cafer,Southern ground hornbill,Birds (Aves),birds,Aves,,3.25,27.458,NA,NA,NA,Howland et al. 2004,Bucorvus cafer,birdtree,,
Buteo buteo,Buzzard,Birds (Aves),birds,Aves,,2.55,23,NA,NA,NA,Howland et al. 2004,Buteo buteo,birdtree,,
Buteo jamaicensis,Red-tail hawk,Birds (Aves),birds,Aves,,2.55,26,NA,NA,NA,Howland et al. 2004,Buteo jamaicensis,birdtree,,
Cacatua galerita,Sulfur crested cockatoo,Birds (Aves),birds,Aves,,0.3115,13.26,NA,NA,NA,Howland et al. 2004,Cacatua galerita,birdtree,,
Callus domesticus,Chicken,Birds (Aves),birds,Aves,,0.6741,13.25,NA,NA,NA,Howland et al. 2004,Gallus gallus,birdtree,,
Cardinalis sinuatus,Pyrrhuloxia,Birds (Aves),birds,Aves,,0.03,5.01,NA,NA,NA,Howland et al. 2004,Cardinalis sinuatus,birdtree,,
Cathartes aura,Turkey vulture,Birds (Aves),birds,Aves,,10.47,19,NA,NA,NA,Howland et al. 2004,Cathartes aura,birdtree,,
Catharus guttatus,Hermit thrush,Birds (Aves),birds,Aves,,0.0947,9.071,NA,NA,NA,Howland et al. 2004,Catharus guttatus,birdtree,,
Choriotis kori,Bustard,Birds (Aves),birds,Aves,,7.77,30.022,NA,NA,NA,Howland et al. 2004,Ardeotis kori,birdtree,,
Ciconia ciconia,White stork,Birds (Aves),birds,Aves,,3.35,21.664,NA,NA,NA,Howland et al. 2004,Ciconia ciconia,birdtree,,
Columba livia,Pigeon,Birds (Aves),birds,Aves,,0.315,11.62,NA,NA,NA,Howland et al. 2004,Columba livia,birdtree,,
Corvus brachyrhynchos,Crow,Birds (Aves),birds,Aves,,1.0005,15.157,NA,NA,NA,Howland et al. 2004,Corvus brachyrhynchos,birdtree,,
Corvus monedula,Jackdaw,Birds (Aves),birds,Aves,,0.79,15,NA,NA,NA,Howland et al. 2004,Corvus monedula,birdtree,,
Cygnus cygnus,Trumpeter swan,Birds (Aves),birds,Aves,,5.6,13.65,NA,NA,NA,Howland et al. 2004,Cygnus cygnus,birdtree,,
Delichon urbica,House martin,Birds (Aves),birds,Aves,,0.0325,7.2,NA,NA,NA,Howland et al. 2004,Delichon urbicum,birdtree,,
Dromaius novaehollandiae,Emu,Birds (Aves),birds,Aves,,13.61,26.97,NA,NA,NA,Howland et al. 2004,Dromaius novaehollandiae,birdtree,,
Dromaius novaehollandiae,Emu,Birds (Aves),birds,Aves,,23.59,30.65,NA,NA,NA,Howland et al. 2004,Dromaius novaehollandiae,birdtree,,
Eudyptes chrysocome,Rockhopper penguin,Birds (Aves),birds,Aves,,23.34,22.7,NA,NA,NA,Howland et al. 2004,Eudyptes chrysocome,birdtree,,
Falco sparverius,American kestral,Birds (Aves),birds,Aves,,0.112,12.454,NA,NA,NA,Howland et al. 2004,Falco sparverius,birdtree,,
Falco tinnunculus,Kestrel,Birds (Aves),birds,Aves,,0.2033,14.936,NA,NA,NA,Howland et al. 2004,Falco tinnunculus,birdtree,,
Fregata aquila,Ascension frigatebird,Birds (Aves),birds,Aves,,1.405,19.655,NA,NA,NA,Howland et al. 2004,Fregata aquila,birdtree,,
Gavia stellata,Red-throated loon,Birds (Aves),birds,Aves,,1.549,14.471,NA,NA,NA,Howland et al. 2004,Gavia stellata,birdtree,,
Grus americana,Wild whooping crane,Birds (Aves),birds,Aves,,5,16.51,NA,NA,NA,Howland et al. 2004,Grus americana,birdtree,,
Grus canadensis,Sandhill crane,Birds (Aves),birds,Aves,,1.651,18.579,NA,NA,NA,Howland et al. 2004,Grus canadensis,birdtree,,
Haliaeetus vocifer,African fish eagle,Birds (Aves),birds,Aves,,3.5,23.523,NA,NA,NA,Howland et al. 2004,Haliaeetus vocifer,birdtree,,
Hirundo rustica,Barn swallow,Birds (Aves),birds,Aves,,0.0255,9.314,NA,NA,NA,Howland et al. 2004,Hirundo rustica,birdtree,,
Hydrobates pelagicus,Storm petrel,Birds (Aves),birds,Aves,,0.0465,6.75,NA,NA,NA,Howland et al. 2004,Hydrobates pelagicus,birdtree,,
Lagopus lagopus,Willow ptarmigan,Birds (Aves),birds,Aves,,0.541,11.604,NA,NA,NA,Howland et al. 2004,Lagopus lagopus,birdtree,,
Larus argentatus,Herring gull,Birds (Aves),birds,Aves,,0.535,16.542,NA,NA,NA,Howland et al. 2004,Larus argentatus,birdtree,,
Larus delawarensis,Ring-billed gull,Birds (Aves),birds,Aves,,0.72,17.225,NA,NA,NA,Howland et al. 2004,Larus delawarensis,birdtree,,
Larus Philadelphia,Bonaparte's gull,Birds (Aves),birds,Aves,,0.205,12.249,NA,NA,NA,Howland et al. 2004,Larus philadelphia,birdtree,,
Larus ridibundus,Black headed gull,Birds (Aves),birds,Aves,,1.045,11.5,NA,NA,NA,Howland et al. 2004,Larus ridibundus,birdtree,,
Leptoptilus crumeniferus,Marabou stork,Birds (Aves),birds,Aves,,7.13,25.35,NA,NA,NA,Howland et al. 2004,Leptoptilos crumeniferus,birdtree,,
Melopsittacus undulatus,Budgie,Birds (Aves),birds,Aves,,0.0077,6,NA,NA,NA,Howland et al. 2004,Melopsittacus undulatus,birdtree,,
Mergus serrator,Red-breasted merganser,Birds (Aves),birds,Aves,,0.77,11.734,NA,NA,NA,Howland et al. 2004,Mergus serrator,birdtree,,
Motacilla flava,Yellow wagtail,Birds (Aves),birds,Aves,,0.0327,9.314,NA,NA,NA,Howland et al. 2004,Motacilla flava,birdtree,,
Nymphicus hollandicus,Cockatiel,Birds (Aves),birds,Aves,,9.155,8.5,NA,NA,NA,Howland et al. 2004,Nymphicus hollandicus,birdtree,,
Nyroca affnis,Lesser scaup,Birds (Aves),birds,Aves,,1.041,11.929,NA,NA,NA,Howland et al. 2004,Aythya affinis,birdtree,,
Nyroca marila,Greater scaup,Birds (Aves),birds,Aves,,0.787,10.102,NA,NA,NA,Howland et al. 2004,Aythya marila,birdtree,,
Passer domesticus,House sparrow,Birds (Aves),birds,Aves,,0.0367,6.417,NA,NA,NA,Howland et al. 2004,Passer domesticus,birdtree,,
Pelecanus occidentalis,Brown pelican,Birds (Aves),birds,Aves,,3.29,19.523,NA,NA,NA,Howland et al. 2004,Pelecanus occidentalis,birdtree,,
Phalacrocorax carbo,Great cormorant,Birds (Aves),birds,Aves,,3.63,15,NA,NA,NA,Howland et al. 2004,Phalacrocorax carbo,birdtree,,
Phasianus colchicus,Ring-necked pheasant,Birds (Aves),birds,Aves,,0.625,14.601,NA,NA,NA,Howland et al. 2004,Phasianus colchicus,birdtree,,
Phoeniconaias minor,Lesser flamingo,Birds (Aves),birds,Aves,,1.5405,12.572,NA,NA,NA,Howland et al. 2004,Phoeniconaias minor,birdtree,,
Puffinus griseus,Sooty shearwater,Birds (Aves),birds,Aves,,0.268,12.416,NA,NA,NA,Howland et al. 2004,Puffinus griseus,birdtree,,
Puffinus puffinus,Manx shearwater,Birds (Aves),birds,Aves,,0.442,11.82,NA,NA,NA,Howland et al. 2004,Puffinus puffinus,birdtree,,
Quiscalus quiscula,Common grackle,Birds (Aves),birds,Aves,,0.237,8.1,NA,NA,NA,Howland et al. 2004,Quiscalus quiscula,birdtree,,
