Dataset_name,Common_name,Group,Body_mass_kg,Axial_diameter_mm,SVL_mm,Trans_diameter_mm,Cornea_diameter_mm,Reference,VertLife_name,VertLife_basetree,TimeTree_tiplabel,TimeTree_genus_sub
Elephas asiaticus,Asian elephant,Mammals (Mammalia),4263.81,30.456,NA,NA,NA,Howland et al. 2004,Elephas maximus,mammaltree,,
Elephas asiaticus,Asian elephant,Mammals (Mammalia),4263.81,40,NA,NA,NA,Howland et al. 2004,Elephas maximus,mammaltree,,
Enhydra lutris,Sea otter,Mammals (Mammalia),27,14,NA,NA,NA,Howland et al. 2004,Enhydra lutris,mammaltree,,
Equus burchelli,Zebra,Mammals (Mammalia),338.1256,50.018,NA,NA,NA,Howland et al. 2004,Equus quagga,mammaltree,,
Equus burchelli,Zebra,Mammals (Mammalia),300,35,NA,NA,NA,Howland et al. 2004,Equus quagga,mammaltree,,
Equus caballus,1/2 Arabian,Mammals (Mammalia),430.92,41,NA,NA,NA,Howland et al. 2004,Equus caballus,mammaltree,,
Equus caballus,American saddlebreed,Mammals (Mammalia),476.28,40,NA,NA,NA,Howland et al. 2004,Equus caballus,mammaltree,,
Equus caballus,Appaloosa,Mammals (Mammalia),504.63,32,NA,NA,NA,Howland et al. 2004,Equus caballus,mammaltree,,
Equus caballus,Arabian,Mammals (Mammalia),430.92,36,NA,NA,NA,Howland et al. 2004,Equus caballus,mammaltree,,
Equus caballus,Connemara,Mammals (Mammalia),351.54,42,NA,NA,NA,Howland et al. 2004,Equus caballus,mammaltree,,
Equus caballus,Horse,Mammals (Mammalia),694.3845,41.962,NA,NA,NA,Howland et al. 2004,Equus caballus,mammaltree,,
Equus caballus,Horse,Mammals (Mammalia),694.3845,40.733,NA,NA,NA,Howland et al. 2004,Equus caballus,mammaltree,,
Equus caballus,Morgan,Mammals (Mammalia),476.28,37,NA,NA,NA,Howland et al. 2004,Equus caballus,mammaltree,,
Equus caballus,Palomino,Mammals (Mammalia),476.28,34,NA,NA,NA,Howland et al. 2004,Equus caballus,mammaltree,,
Equus caballus,Pinto,Mammals (Mammalia),453.6,36,NA,NA,NA,Howland et al. 2004,Equus caballus,mammaltree,,
Equus caballus,Quarter Horse,Mammals (Mammalia),487.62,38,NA,NA,NA,Howland et al. 2004,Equus caballus,mammaltree,,
Equus caballus,Shetland pony,Mammals (Mammalia),99.2008,39.324,NA,NA,NA,Howland et al. 2004,Equus caballus,mammaltree,,
Equus caballus,Standard bred,Mammals (Mammalia),907.19,42,NA,NA,NA,Howland et al. 2004,Equus caballus,mammaltree,,
Equus caballus,Thoroughbred,Mammals (Mammalia),476.28,45,NA,NA,NA,Howland et al. 2004,Equus caballus,mammaltree,,
Equus caballus,Welsh Pony,Mammals (Mammalia),238.74,35,NA,NA,NA,Howland et al. 2004,Equus caballus,mammaltree,,
Erethizon dorsatum,North American porcupine,Mammals (Mammalia),2.8,11.791,NA,NA,NA,Howland et al. 2004,Erethizon dorsatum,mammaltree,,
Erignathus barbatus,Bearded seal,Mammals (Mammalia),281,33.263,NA,NA,NA,Howland et al. 2004,Erignathus barbatus,mammaltree,,
Felis capensis,Cape cat,Mammals (Mammalia),7.687,20.211,NA,NA,NA,Howland et al. 2004,Leptailurus serval,mammaltree,,
Felis catus,Cat,Mammals (Mammalia),3.0544,21.935,NA,NA,NA,Howland et al. 2004,Felis catus,mammaltree,,
Felis lynx,Lynx,Mammals (Mammalia),8.7952,30.456,NA,NA,NA,Howland et al. 2004,Lynx lynx,mammaltree,,
Felis lynx,Lynx,Mammals (Mammalia),8.7932,23.192,NA,NA,NA,Howland et al. 2004,Lynx lynx,mammaltree,,
Felis ocreata,Kaffir cat,Mammals (Mammalia),2.7,15.535,NA,NA,NA,Howland et al. 2004,Felis silvestris,mammaltree,,
Felis oreqonensis,Mountain lion,Mammals (Mammalia),28.79,17.522,NA,NA,NA,Howland et al. 2004,Puma concolor,mammaltree,,
Galago senegalensis,Northern Lesser Bushbaby,Mammals (Mammalia),0.2,12.938,NA,NA,NA,Howland et al. 2004,Galago senegalensis,mammaltree,,
Gazella thomsoni,Thomson's gazelle,Mammals (Mammalia),24.37,24.953,NA,NA,NA,Howland et al. 2004,Eudorcas thomsonii,mammaltree,,
Genetta tigrina,Large spotted genet,Mammals (Mammalia),1.4135,12.796,NA,NA,NA,Howland et al. 2004,Genetta tigrina,mammaltree,,
Giraffa camelopardalis,Giraffe,Mammals (Mammalia),1468.5137,48.147,NA,NA,NA,Howland et al. 2004,Giraffa camelopardalis,mammaltree,,
Gorilla gorilla,Gorilla,Mammals (Mammalia),167.5,22.5,NA,NA,NA,Howland et al. 2004,Gorilla gorilla,mammaltree,,
Graphiurus murinus,African dormouse,Mammals (Mammalia),0.0177,3.127,NA,NA,NA,Howland et al. 2004,Graphiurus murinus,mammaltree,,
Herpestes auropunctatus,Indian mongoose,Mammals (Mammalia),1.5,9,NA,NA,NA,Howland et al. 2004,Herpestes javanicus,mammaltree,,
Hippopotamus amphibius,Hippopotamus,Mammals (Mammalia),1351,29.213,NA,NA,NA,Howland et al. 2004,Hippopotamus amphibius,mammaltree,,
Hippotragus niger,Sable antelope,Mammals (Mammalia),225,30,NA,NA,NA,Howland et al. 2004,Hippotragus niger,mammaltree,,
Homo sapiens,Human,Mammals (Mammalia),72.3416,24.521,NA,NA,NA,Howland et al. 2004,Homo sapiens,mammaltree,,
Hystrix cristata,N. African crested porcupine,Mammals (Mammalia),17.5,11.28,NA,NA,NA,Howland et al. 2004,Hystrix cristata,mammaltree,,
Ichneumia albicauda,White-tailed mongoose,Mammals (Mammalia),4.4,13.278,NA,NA,NA,Howland et al. 2004,Ichneumia albicauda,mammaltree,,
Kogia breviceps,Pygmy Sperm Whale,Mammals (Mammalia),500,18,NA,NA,NA,Howland et al. 2004,Kogia breviceps,mammaltree,,
Lama glama,Llama,Mammals (Mammalia),142.5,35,NA,NA,NA,Howland et al. 2004,Lama glama,mammaltree,,
Lama guanicoe,Guanaco,Mammals (Mammalia),100,36,NA,NA,NA,Howland et al. 2004,Lama guanicoe,mammaltree,,
Lama Pacos,Alpaca,Mammals (Mammalia),60,33,NA,NA,NA,Howland et al. 2004,Vicugna pacos,mammaltree,,
Lemmus trimucronatus,Brown lemming,Mammals (Mammalia),0.0386,2.403,NA,NA,NA,Howland et al. 2004,Lemmus trimucronatus,mammaltree,,
Lepus arcticus,Arctic hare,Mammals (Mammalia),2.2705,13.98,NA,NA,NA,Howland et al. 2004,Lepus arcticus,mammaltree,,
Loxodonta africana,African elephant,Mammals (Mammalia),4754.6439,51.206,NA,NA,NA,Howland et al. 2004,Loxodonta africana,mammaltree,,
Lutra lutra,Otter,Mammals (Mammalia),8.1706,13.283,NA,NA,NA,Howland et al. 2004,Lutra lutra,mammaltree,,
Macaca mulatta,Rhesus macaque,Mammals (Mammalia),9.25,17.599,NA,NA,NA,Howland et al. 2004,Macaca mulatta,mammaltree,,
Macaca sylvanus,Barbary macaque,Mammals (Mammalia),6,19.176,NA,NA,NA,Howland et al. 2004,Macaca sylvanus,mammaltree,,
Macroderma gigas,Ghost bat,Mammals (Mammalia),0.11,7,NA,NA,NA,Howland et al. 2004,Macroderma gigas,mammaltree,,
Macropus giganteus,Eastern gray kangaroo,Mammals (Mammalia),49,24.816,NA,NA,NA,Howland et al. 2004,Macropus giganteus,mammaltree,,
Marmota caligata,Hoary marmot,Mammals (Mammalia),5.4558,12.899,NA,NA,NA,Howland et al. 2004,Marmota caligata,mammaltree,,
Marmota marmota,Alpine marmot,Mammals (Mammalia),4.71,14.664,NA,NA,NA,Howland et al. 2004,Marmota marmota,mammaltree,,
Marmota monax,Woodchuck,Mammals (Mammalia),4.575,11,NA,NA,NA,Howland et al. 2004,Marmota monax,mammaltree,,
Mastomys coucha,Multimammate mouse,Mammals (Mammalia),0.218,3.532,NA,NA,NA,Howland et al. 2004,Mastomys coucha,mammaltree,,
Megaderma lyra,Asian false vampire bat,Mammals (Mammalia),0.11,4.2,NA,NA,NA,Howland et al. 2004,Megaderma lyra,mammaltree,,
Megaptera novaeangliae,Humpback whale,Mammals (Mammalia),43035,61.24,NA,NA,NA,Howland et al. 2004,Megaptera novaeangliae,mammaltree,,
Meles meles,Eurasian badger,Mammals (Mammalia),10.1842,10.052,NA,NA,NA,Howland et al. 2004,Meles meles,mammaltree,,
Mesoplodon bidens,Sowerby's beaked whale,Mammals (Mammalia),1666.67,24,NA,NA,NA,Howland et al. 2004,Mesoplodon bidens,mammaltree,,
Microtus drummondi,Meadow mouse,Mammals (Mammalia),0.0233,2.408,NA,NA,NA,Howland et al. 2004,Microtus pennsylvanicus,mammaltree,,
Microtus pennsylvanicus,Meadow vole,Mammals (Mammalia),0.0458,2.765,NA,NA,NA,Howland et al. 2004,Microtus pennsylvanicus,mammaltree,,
Microtus pennsylvanicus,Meadow vole,Mammals (Mammalia),0.0266,2.487,NA,NA,NA,Howland et al. 2004,Microtus pennsylvanicus,mammaltree,,
Mus musculus,House mouse,Mammals (Mammalia),0.0331,5.281,NA,NA,NA,Howland et al. 2004,Mus musculus,mammaltree,,
Mustela arctica,Arctic weasel,Mammals (Mammalia),0.1452,4.258,NA,NA,NA,Howland et al. 2004,Mustela erminea,mammaltree,,
Mustela putorius f. furo,Ferret,Mammals (Mammalia),0.66,7.5,NA,NA,NA,Howland et al. 2004,Mustela putorius,mammaltree,,
Nasua narica,White-nosed coatimundi,Mammals (Mammalia),6.25,11.091,NA,NA,NA,Howland et al. 2004,Nasua narica,mammaltree,,
Nyctophilus gouldi,Gould's long eared bat,Mammals (Mammalia),0.027,1.9,NA,NA,NA,Howland et al. 2004,Nyctophilus gouldi,mammaltree,,
Odobenus rosmarus,Walrus,Mammals (Mammalia),667,24.963,NA,NA,NA,Howland et al. 2004,Odobenus rosmarus,mammaltree,,
Odocoileus virginianus,Whitetail Deer,Mammals (Mammalia),77.5,22,NA,NA,NA,Howland et al. 2004,Odocoileus virginianus,mammaltree,,
Ommatophoca rossi,Ross seal,Mammals (Mammalia),183.8193,29.326,NA,NA,NA,Howland et al. 2004,Ommatophoca rossii,mammaltree,,
Ondatra zibethicus,Muskrat,Mammals (Mammalia),0.9,10.326,NA,NA,NA,Howland et al. 2004,Ondatra zibethicus,mammaltree,,
Ornithorhynchus anatinus,Duckbilled platypus,Mammals (Mammalia),1.4595,4.64,NA,NA,NA,Howland et al. 2004,Ornithorhynchus anatinus,mammaltree,,
Oryctolagus cuniculus,European rabbit,Mammals (Mammalia),2.7158,18.074,NA,NA,NA,Howland et al. 2004,Oryctolagus cuniculus,mammaltree,,
Otocyon megalotis,Bat-eared fox,Mammals (Mammalia),3.335,13.961,NA,NA,NA,Howland et al. 2004,Otocyon megalotis,mammaltree,,
Ovis aries,Sheep,Mammals (Mammalia),52.1,26.113,NA,NA,NA,Howland et al. 2004,Ovis aries,mammaltree,,
Pan troglodytes,Chimpanzee,Mammals (Mammalia),51.5,19,NA,NA,NA,Howland et al. 2004,Pan troglodytes,mammaltree,,
Panthera leo,Lion,Mammals (Mammalia),185,41,NA,NA,NA,Howland et al. 2004,Panthera leo,mammaltree,,
Panthera onca,Jaguar,Mammals (Mammalia),34.47,21.614,NA,NA,NA,Howland et al. 2004,Panthera onca,mammaltree,,
Panthera tigris,Tiger,Mammals (Mammalia),197.5,30,NA,NA,NA,Howland et al. 2004,Panthera tigris,mammaltree,,
Panthera tigris tigris,White tiger,Mammals (Mammalia),197.5,32,NA,NA,NA,Howland et al. 2004,Panthera tigris,mammaltree,,
Papio cynocephalus,Yellow baboon,Mammals (Mammalia),19.51,19.75,NA,NA,NA,Howland et al. 2004,Papio cynocephalus,mammaltree,,
Phacochoerus aethiopicus,Warthog,Mammals (Mammalia),83.7853,30.2,NA,NA,NA,Howland et al. 2004,Phacochoerus aethiopicus,mammaltree,,
Phoca groenlandica,Harp seal,Mammals (Mammalia),150,29.328,NA,NA,NA,Howland et al. 2004,Pagophilus groenlandicus,mammaltree,,
Phoca hispida,Ringed seal,Mammals (Mammalia),39.72,34.727,NA,NA,NA,Howland et al. 2004,Pusa hispida,mammaltree,,
Phoca richardii,Spotted seal,Mammals (Mammalia),107.3,32.847,NA,NA,NA,Howland et al. 2004,Phoca vitulina,mammaltree,,
Phocoena phocoena,Harbor porpoise,Mammals (Mammalia),142.43,32.198,NA,NA,NA,Howland et al. 2004,Phocoena phocoena,mammaltree,,
Phocoena phocoena,Harbor porpoise,Mammals (Mammalia),65,19,NA,NA,NA,Howland et al. 2004,Phocoena phocoena,mammaltree,,
Phocoenoides dalli,Dall's porpoise,Mammals (Mammalia),135,22,NA,NA,NA,Howland et al. 2004,Phocoenoides dalli,mammaltree,,
Physeter catodon,Sperm whale,Mammals (Mammalia),39009,55.286,NA,NA,NA,Howland et al. 2004,Physeter macrocephalus,mammaltree,,
Pipistrellus pipistrellus,Common pipistrelle,Mammals (Mammalia),0.0055,1.4,NA,NA,NA,Howland et al. 2004,Pipistrellus pipistrellus,mammaltree,,
Plecotus auritus,Brown long-eared bat,Mammals (Mammalia),0.0085,2.707,NA,NA,NA,Howland et al. 2004,Plecotus auritus,mammaltree,,
Plecotus auritus,Brown long-eared bat,Mammals (Mammalia),0.0085,2.1,NA,NA,NA,Howland et al. 2004,Plecotus auritus,mammaltree,,
Potamochoerus porcus,Bush pig,Mammals (Mammalia),102.1577,23.192,NA,NA,NA,Howland et al. 2004,Potamochoerus porcus,mammaltree,,
Potos flavus,Kinkajou,Mammals (Mammalia),2.62,10.363,NA,NA,NA,Howland et al. 2004,Potos flavus,mammaltree,,
Procyon lotor,Raccoon,Mammals (Mammalia),11.9,12.634,NA,NA,NA,Howland et al. 2004,Procyon lotor,mammaltree,,
Procyon lotor,Raccoon,Mammals (Mammalia),11.9,7.5,NA,NA,NA,Howland et al. 2004,Procyon lotor,mammaltree,,
Pteropus giganteus,Flying fox,Mammals (Mammalia),1.5,9.65,NA,NA,NA,Howland et al. 2004,Pteropus giganteus,mammaltree,,
Rangifer tarandus,Reindeer,Mammals (Mammalia),189,30,NA,NA,NA,Howland et al. 2004,Rangifer tarandus,mammaltree,,
Raphicerus campestris,Steenbok,Mammals (Mammalia),8.62,20.56,NA,NA,NA,Howland et al. 2004,Raphicerus campestris,mammaltree,,
Rattus norvegicus,Norway rat,Mammals (Mammalia),0.278,5.579,NA,NA,NA,Howland et al. 2004,Rattus norvegicus,mammaltree,,
Redunca redunca,Bohor Reedbuck,Mammals (Mammalia),31.7,26.918,NA,NA,NA,Howland et al. 2004,Redunca redunca,mammaltree,,
Rhinoceros unicornis,Greater Indian rhinoceros,Mammals (Mammalia),3538.06,23,NA,NA,NA,Howland et al. 2004,Rhinoceros unicornis,mammaltree,,
Rhinolophidae rouxi,Pennisular horseshoe bat,Mammals (Mammalia),0.022,1.8,NA,NA,NA,Howland et al. 2004,Rhinolophus rouxii,mammaltree,,
Rupicapra rupicapra,Chamois,Mammals (Mammalia),38,28.877,NA,NA,NA,Howland et al. 2004,Rupicapra rupicapra,mammaltree,,
Sciurus carolinensis,Easetern grey squirrel,Mammals (Mammalia),0.0656,8.809,NA,NA,NA,Howland et al. 2004,Sciurus carolinensis,mammaltree,,
Sorex palustris,Water shrew,Mammals (Mammalia),0.0204,1.489,NA,NA,NA,Howland et al. 2004,Sorex palustris,mammaltree,,
Sus scrofa,Wild boar,Mammals (Mammalia),182,24.8,NA,NA,NA,Howland et al. 2004,Sus scrofa,mammaltree,,
Syncerus caffer,African buffalo,Mammals (Mammalia),759,31.782,NA,NA,NA,Howland et al. 2004,Syncerus caffer,mammaltree,,
Tachyglossus aculeatus,Short-nosed echidna,Mammals (Mammalia),4.5,8,NA,NA,NA,Howland et al. 2004,Tachyglossus aculeatus,mammaltree,,
Tamias striatus,Eastern chipmunk,Mammals (Mammalia),0.075,6.883,NA,NA,NA,Howland et al. 2004,Tamias striatus,mammaltree,,
Taphozous georgianus,Common sheathtail bat,Mammals (Mammalia),0.0165,3.7,NA,NA,NA,Howland et al. 2004,Taphozous georgianus,mammaltree,,
Tapirus bairdii,Baird's tapir,Mammals (Mammalia),58.06,20.564,NA,NA,NA,Howland et al. 2004,Tapirus bairdii,mammaltree,,
Tragelaphus scriptus,Bushbuck,Mammals (Mammalia),40.53,28.71,NA,NA,NA,Howland et al. 2004,Tragelaphus scriptus,mammaltree,,
Trichechus inunguis,Manatee,Mammals (Mammalia),400,13.5,NA,NA,NA,Howland et al. 2004,Trichechus inunguis,mammaltree,,
Trichechus manatus,West Indian manatee,Mammals (Mammalia),490.96,32.525,NA,NA,NA,Howland et al. 2004,Trichechus manatus,mammaltree,,
Tupaia belangeri,Tree shrew,Mammals (Mammalia),0.115,8.07,NA,NA,NA,Howland et al. 2004,Tupaia belangeri,mammaltree,,
Urocyon cinereoargenteus,Grey fox,Mammals (Mammalia),3.759,13.3,NA,NA,NA,Howland et al. 2004,Urocyon cinereoargenteus,mammaltree,,
Vulpes lagopus,Arctic fox,Mammals (Mammalia),3.385,15.027,NA,NA,NA,Howland et al. 2004,Vulpes lagopus,mammaltree,,
Vulpes vulpes,Red fox,Mammals (Mammalia),6.25,21,NA,NA,NA,Howland et al. 2004,Vulpes vulpes,mammaltree,,
Wallabia bicolor,Swamp wallaby,Mammals (Mammalia),13.85,11.4,NA,NA,NA,Howland et al. 2004,Wallabia bicolor,mammaltree,,
Zapus hudsonicus,Meadow jumping mouse,Mammals (Mammalia),0.0173,2.498,NA,NA,NA,Howland et al. 2004,Zapus hudsonius,mammaltree,,
Acinonyx jubatus ,,Mammals (Mammalia),45.6,36.7,NA,NA,NA,Veilleux & Kirk 2014,Acinonyx jubatus,mammaltree,,
Agouti paca,,Mammals (Mammalia),8,18.46,NA,NA,NA,Veilleux & Kirk 2014,Cuniculus paca,mammaltree,,
Alouatta caraya,,Mammals (Mammalia),5.63,16.2,NA,NA,NA,Veilleux & Kirk 2014,Alouatta caraya,mammaltree,,
Aotus azarae,,Mammals (Mammalia),1.06,19.9,NA,NA,NA,Veilleux & Kirk 2014,Aotus azarae,mammaltree,,
Aotus trivirgatus,,Mammals (Mammalia),0.85,19.9,NA,NA,NA,Veilleux & Kirk 2014,Aotus trivirgatus,mammaltree,,
Artibeus cinereus,,Mammals (Mammalia),0.07,4.4,NA,NA,NA,Veilleux & Kirk 2014,Dermanura cinereus,mammaltree,,
Artibeus jamaicensis,,Mammals (Mammalia),0.05,3.9,NA,NA,NA,Veilleux & Kirk 2014,Artibeus jamaicensis,mammaltree,,
Bos taurus,,Mammals (Mammalia),679.05,30.78,NA,NA,NA,Veilleux & Kirk 2014,Bos taurus,mammaltree,,
Callithrix jacchus,,Mammals (Mammalia),0.31,11.3,NA,NA,NA,Veilleux & Kirk 2014,Callithrix jacchus,mammaltree,,
Camelus bactrianus ,,Mammals (Mammalia),400,40,NA,NA,NA,Veilleux & Kirk 2014,Camelus bactrianus,mammaltree,,
Camelus dromedarius ,,Mammals (Mammalia),415,33,NA,NA,NA,Veilleux & Kirk 2014,Camelus dromedarius,mammaltree,,
Canis lupus,,Mammals (Mammalia),31.65,22.5,NA,NA,NA,Veilleux & Kirk 2014,Canis lupus,mammaltree,,
Capra hircus,,Mammals (Mammalia),27.66,25.84,NA,NA,NA,Veilleux & Kirk 2014,Capra hircus,mammaltree,,
Carollia perspicillata,,Mammals (Mammalia),0.02,2.62,NA,NA,NA,Veilleux & Kirk 2014,Carollia perspicillata,mammaltree,,
Cebus apella,,Mammals (Mammalia),2.77,14.1,NA,NA,NA,Veilleux & Kirk 2014,Sapajus apella,mammaltree,,
Cheirogaleus medius,,Mammals (Mammalia),0.18,10.3,NA,NA,NA,Veilleux & Kirk 2014,Cheirogaleus medius,mammaltree,,
Chlorocebus aethiops,,Mammals (Mammalia),4.17,21.5,NA,NA,NA,Veilleux & Kirk 2014,Chlorocebus aethiops,mammaltree,,
Choloepus didactylus,,Mammals (Mammalia),4.66,10.2,NA,NA,NA,Veilleux & Kirk 2014,Choloepus didactylus,mammaltree,,
Crocuta crocuta ,,Mammals (Mammalia),64.23,28.68,NA,NA,NA,Veilleux & Kirk 2014,Crocuta crocuta,mammaltree,,
Dama dama,,Mammals (Mammalia),80,34,NA,NA,NA,Veilleux & Kirk 2014,Dama dama,mammaltree,,
Dasyprocta leoporina,,Mammals (Mammalia),2.61,15.68,NA,NA,NA,Veilleux & Kirk 2014,Dasyprocta leporina,mammaltree,,
Dasyurus hallucatus,,Mammals (Mammalia),0.4,10,NA,NA,NA,Veilleux & Kirk 2014,Dasyurus hallucatus,mammaltree,,
Desmodus rotundus,,Mammals (Mammalia),0.03,2.5,NA,NA,NA,Veilleux & Kirk 2014,Desmodus rotundus,mammaltree,,
Diceros bicornis,,Mammals (Mammalia),985,27.6,NA,NA,NA,Veilleux & Kirk 2014,Diceros bicornis,mammaltree,,
Didelphis marsupialis,,Mammals (Mammalia),1.48,8.7,NA,NA,NA,Veilleux & Kirk 2014,Didelphis marsupialis,mammaltree,,
Didelphis virginiana,,Mammals (Mammalia),2.19,10,NA,NA,NA,Veilleux & Kirk 2014,Didelphis virginiana,mammaltree,,
Ellobius lutescens,,Mammals (Mammalia),0.12,2.2,NA,NA,NA,Veilleux & Kirk 2014,Ellobius lutescens,mammaltree,,
Ellobius talpinus,,Mammals (Mammalia),0.04,2.9,NA,NA,NA,Veilleux & Kirk 2014,Ellobius talpinus,mammaltree,,
Enhydra lutris ,,Mammals (Mammalia),27.05,14,NA,NA,NA,Veilleux & Kirk 2014,Enhydra lutris,mammaltree,,
Eptesicus fuscus,,Mammals (Mammalia),0.03,1.481,NA,NA,NA,Veilleux & Kirk 2014,Eptesicus fuscus,mammaltree,,
Equus caballus,,Mammals (Mammalia),350,42,NA,NA,NA,Veilleux & Kirk 2014,Equus caballus,mammaltree,,
Eulemur macaco,,Mammals (Mammalia),2.4,15.3,NA,NA,NA,Veilleux & Kirk 2014,Eulemur macaco,mammaltree,,
Felis catus,,Mammals (Mammalia),3.05,21.94,NA,NA,NA,Veilleux & Kirk 2014,Felis catus,mammaltree,,
Galago senegalensis,,Mammals (Mammalia),0.18,12.9,NA,NA,NA,Veilleux & Kirk 2014,Galago senegalensis,mammaltree,,
Giraffa camelopardalis ,,Mammals (Mammalia),1000,42.26,NA,NA,NA,Veilleux & Kirk 2014,Giraffa camelopardalis,mammaltree,,
Heterocephalus glaber,,Mammals (Mammalia),0.06,1.6,NA,NA,NA,Veilleux & Kirk 2014,Heterocephalus glaber,mammaltree,,
Homo sapiens,,Mammals (Mammalia),60.21,24,NA,NA,NA,Veilleux & Kirk 2014,Homo sapiens,mammaltree,,
Hydrochoerus hydrochaeris,,Mammals (Mammalia),39.13,21.04,NA,NA,NA,Veilleux & Kirk 2014,Hydrochoerus hydrochaeris,mammaltree,,
Lemmus lemmus,,Mammals (Mammalia),0.05,2.4,NA,NA,NA,Veilleux & Kirk 2014,Lemmus lemmus,mammaltree,,
Lemur catta,,Mammals (Mammalia),1.96,15.6,NA,NA,NA,Veilleux & Kirk 2014,Lemur catta,mammaltree,,
Loxodonta africana,,Mammals (Mammalia),2420,39.6,NA,NA,NA,Veilleux & Kirk 2014,Loxodonta africana,mammaltree,,
Lynx lynx,,Mammals (Mammalia),17.8,26.82,NA,NA,NA,Veilleux & Kirk 2014,Lynx lynx,mammaltree,,
Macaca fascicularis,,Mammals (Mammalia),4.3,18.4,NA,NA,NA,Veilleux & Kirk 2014,Macaca fascicularis,mammaltree,,
Macaca mulatta,,Mammals (Mammalia),5.3,20,NA,NA,NA,Veilleux & Kirk 2014,Macaca mulatta,mammaltree,,
Macaca nemestrina,,Mammals (Mammalia),7.47,19.9,NA,NA,NA,Veilleux & Kirk 2014,Macaca nemestrina,mammaltree,,
Macroderma gigas,,Mammals (Mammalia),0.15,7,NA,NA,NA,Veilleux & Kirk 2014,Macroderma gigas,mammaltree,,
Macropus eugenii,,Mammals (Mammalia),6.5,16.1,NA,NA,NA,Veilleux & Kirk 2014,Macropus eugenii,mammaltree,,
Macropus fulginosus,,Mammals (Mammalia),62.63,23.1,NA,NA,NA,Veilleux & Kirk 2014,Macropus fuliginosus,mammaltree,,
Megaderma lyra,,Mammals (Mammalia),0.05,4.2,NA,NA,NA,Veilleux & Kirk 2014,Megaderma lyra,mammaltree,,
Meriones unguiculatus,,Mammals (Mammalia),0.06,6.11,NA,NA,NA,Veilleux & Kirk 2014,Meriones unguiculatus,mammaltree,,
Mesocricetus auratus,,Mammals (Mammalia),0.1,6.32,NA,NA,NA,Veilleux & Kirk 2014,Mesocricetus auratus,mammaltree,,
Microcebus murinus,,Mammals (Mammalia),0.06,9.2,NA,NA,NA,Veilleux & Kirk 2014,Microcebus murinus,mammaltree,,
Mus musculus,,Mammals (Mammalia),0.02,5.28,NA,NA,NA,Veilleux & Kirk 2014,Mus musculus,mammaltree,,
Mustela nivalis ,,Mammals (Mammalia),0.08,5.4,NA,NA,NA,Veilleux & Kirk 2014,Mustela nivalis,mammaltree,,
Mustela putorius furo ,,Mammals (Mammalia),0.83,7.5,NA,NA,NA,Veilleux & Kirk 2014,Mustela putorius,mammaltree,,
Myotis dabentonii,,Mammals (Mammalia),0.007,1.25,NA,NA,NA,Veilleux & Kirk 2014,Myotis daubentonii,mammaltree,,
Myotis mystacinus,,Mammals (Mammalia),0.004,0.95,NA,NA,NA,Veilleux & Kirk 2014,Myotis mystacinus,mammaltree,,
Myrmecobius fasciatus,,Mammals (Mammalia),0.46,11.7,NA,NA,NA,Veilleux & Kirk 2014,Myrmecobius fasciatus,mammaltree,,
Nyctophilus gouldi,,Mammals (Mammalia),0.01,1.9,NA,NA,NA,Veilleux & Kirk 2014,Nyctophilus gouldi,mammaltree,,
Odobenus rosmarus ,,Mammals (Mammalia),1060,24.96,NA,NA,NA,Veilleux & Kirk 2014,Odobenus rosmarus,mammaltree,,
Oryctolagus cuniculus,,Mammals (Mammalia),1.52,18,NA,NA,NA,Veilleux & Kirk 2014,Oryctolagus cuniculus,mammaltree,,
Otolemur crassicaudatus,,Mammals (Mammalia),1.27,16.3,NA,NA,NA,Veilleux & Kirk 2014,Otolemur crassicaudatus,mammaltree,,
Ovis aries,,Mammals (Mammalia),52.1,26.11,NA,NA,NA,Veilleux & Kirk 2014,Ovis aries,mammaltree,,
Pan troglodytes,,Mammals (Mammalia),49.21,20.9,NA,NA,NA,Veilleux & Kirk 2014,Pan troglodytes,mammaltree,,
Peromyscus maniculatus,,Mammals (Mammalia),0.03,4.9,NA,NA,NA,Veilleux & Kirk 2014,Peromyscus maniculatus,mammaltree,,
Phascolarctos cinereus,,Mammals (Mammalia),6.96,12.6,NA,NA,NA,Veilleux & Kirk 2014,Phascolarctos cinereus,mammaltree,,
Phyllostomus hastatus,,Mammals (Mammalia),0.11,3.94,NA,NA,NA,Veilleux & Kirk 2014,Phyllostomus hastatus,mammaltree,,
Plecotus auritus,,Mammals (Mammalia),0.007,1.8,NA,NA,NA,Veilleux & Kirk 2014,Plecotus auritus,mammaltree,,
Pteropus giganteus,,Mammals (Mammalia),0.9,9.65,NA,NA,NA,Veilleux & Kirk 2014,Pteropus giganteus,mammaltree,,
Pteropus poliocephalus,,Mammals (Mammalia),0.68,13.3,NA,NA,NA,Veilleux & Kirk 2014,Pteropus poliocephalus,mammaltree,,
Pteropus scapulatus,,Mammals (Mammalia),0.36,11,NA,NA,NA,Veilleux & Kirk 2014,Pteropus scapulatus,mammaltree,,
Rattus norvegicus,,Mammals (Mammalia),0.29,5.58,NA,NA,NA,Veilleux & Kirk 2014,Rattus norvegicus,mammaltree,,
Rhinolophus rouxi,,Mammals (Mammalia),0.014,1.8,NA,NA,NA,Veilleux & Kirk 2014,Rhinolophus rouxii,mammaltree,,
